DATE_TIME,INTERSECTION_ID,INTERSECTION_NAME,VEHICLE_COUNT
2022-10-20 14:00:00,INT17,Intersection 10,1695
2022-08-22 08:00:00,INT20,Intersection 17,1873
2022-11-30 04:00:00,INT10,Intersection 14,1975
2022-11-17 03:00:00,INT13,Intersection 11,610
2022-07-13 10:00:00,INT12,Intersection 20,1459
2022-11-16 23:00:00,INT15,Intersection 6,1769
2022-12-09 00:00:00,INT7,Intersection 8,1972
2022-11-02 19:00:00,INT13,Intersection 19,873
2022-04-02 21:00:00,INT12,Intersection 19,1465
2022-02-14 13:00:00,INT12,Intersection 17,1461
2022-05-24 12:00:00,INT2,Intersection 18,1603
2022-02-14 04:00:00,INT5,Intersection 12,1023
2022-04-07 23:00:00,INT2,Intersection 9,1165
2022-05-23 12:00:00,INT20,Intersection 16,173
2022-01-13 13:00:00,INT13,Intersection 18,908
2022-01-26 06:00:00,INT3,Intersection 16,930
2022-05-13 02:00:00,INT11,Intersection 16,1145
2022-01-30 03:00:00,INT16,Intersection 4,319
2022-08-01 00:00:00,INT1,Intersection 7,178
2022-01-08 22:00:00,INT19,Intersection 1,334
2022-02-10 20:00:00,INT11,Intersection 20,256
2022-05-04 23:00:00,INT9,Intersection 1,426
2022-09-12 06:00:00,INT14,Intersection 8,1237
2022-02-19 08:00:00,INT9,Intersection 8,1925
2022-05-19 15:00:00,INT7,Intersection 10,1731
2022-05-22 10:00:00,INT16,Intersection 1,741
2022-12-13 15:00:00,INT3,Intersection 14,720
2022-03-17 16:00:00,INT19,Intersection 14,1710
2022-09-01 22:00:00,INT4,Intersection 10,1084
2022-10-07 13:00:00,INT7,Intersection 19,1398
2022-01-24 17:00:00,INT12,Intersection 16,1504
2022-08-15 18:00:00,INT18,Intersection 9,1143
2022-03-20 23:00:00,INT5,Intersection 20,1796
2022-04-24 21:00:00,INT10,Intersection 16,1332
2022-06-10 23:00:00,INT12,Intersection 20,705
2022-11-07 15:00:00,INT8,Intersection 8,1717
2022-06-17 06:00:00,INT19,Intersection 7,963
2022-03-12 06:00:00,INT15,Intersection 11,1739
2022-05-06 09:00:00,INT1,Intersection 6,848
2022-11-22 06:00:00,INT3,Intersection 15,1895
2022-01-07 10:00:00,INT18,Intersection 19,1283
2022-02-28 17:00:00,INT18,Intersection 14,1014
2022-02-02 16:00:00,INT2,Intersection 15,998
2022-12-04 08:00:00,INT5,Intersection 6,1097
2022-11-12 00:00:00,INT1,Intersection 10,959
2022-11-02 23:00:00,INT10,Intersection 14,672
2022-10-28 06:00:00,INT20,Intersection 16,137
2022-08-22 04:00:00,INT10,Intersection 13,217
2022-08-30 17:00:00,INT5,Intersection 11,489
2022-04-27 22:00:00,INT18,Intersection 3,1947
2022-01-23 09:00:00,INT15,Intersection 8,779
2022-09-07 10:00:00,INT20,Intersection 3,476
2022-03-18 17:00:00,INT8,Intersection 2,948
2022-12-30 04:00:00,INT17,Intersection 14,1997
2022-10-18 11:00:00,INT12,Intersection 20,475
2022-08-23 09:00:00,INT12,Intersection 15,1704
2022-05-03 22:00:00,INT1,Intersection 3,694
2022-11-30 00:00:00,INT4,Intersection 1,846
2022-07-19 04:00:00,INT8,Intersection 15,1165
2022-04-09 16:00:00,INT1,Intersection 20,1734
2022-10-05 07:00:00,INT15,Intersection 2,1593
2022-12-07 13:00:00,INT18,Intersection 18,557
2022-07-07 07:00:00,INT1,Intersection 1,1253
2022-09-08 02:00:00,INT11,Intersection 9,1151
2022-10-03 14:00:00,INT2,Intersection 3,1868
2022-09-04 15:00:00,INT1,Intersection 2,840
2022-02-05 13:00:00,INT12,Intersection 4,728
2022-06-22 18:00:00,INT16,Intersection 16,425
2022-06-07 01:00:00,INT10,Intersection 1,1632
2022-01-24 22:00:00,INT18,Intersection 9,718
2022-02-17 20:00:00,INT15,Intersection 8,424
2022-09-20 05:00:00,INT17,Intersection 6,1930
2022-09-27 01:00:00,INT10,Intersection 20,1283
2022-11-09 21:00:00,INT3,Intersection 18,615
2022-07-19 01:00:00,INT16,Intersection 16,1784
2022-06-10 14:00:00,INT6,Intersection 8,845
2022-04-14 19:00:00,INT3,Intersection 4,1377
2022-05-11 04:00:00,INT9,Intersection 3,347
2022-08-26 03:00:00,INT11,Intersection 15,1973
2022-05-08 03:00:00,INT13,Intersection 6,1476
2022-01-01 04:00:00,INT18,Intersection 1,497
2022-08-06 14:00:00,INT4,Intersection 18,681
2022-08-10 11:00:00,INT8,Intersection 11,302
2022-07-22 21:00:00,INT13,Intersection 3,1425
2022-02-06 12:00:00,INT10,Intersection 13,1271
2022-10-20 19:00:00,INT2,Intersection 17,320
2022-06-22 14:00:00,INT8,Intersection 18,1821
2022-10-18 06:00:00,INT6,Intersection 14,966
2022-10-22 23:00:00,INT16,Intersection 7,1971
2022-11-29 19:00:00,INT18,Intersection 7,1683
2022-10-11 07:00:00,INT17,Intersection 14,362
2022-07-06 01:00:00,INT6,Intersection 15,395
2022-01-27 11:00:00,INT13,Intersection 12,1438
2022-03-12 13:00:00,INT14,Intersection 12,1119
2022-07-18 00:00:00,INT10,Intersection 8,391
2022-12-13 07:00:00,INT11,Intersection 16,783
2022-02-04 14:00:00,INT13,Intersection 9,975
2022-08-04 17:00:00,INT12,Intersection 2,1154
2022-12-13 04:00:00,INT9,Intersection 14,1805
2022-09-05 21:00:00,INT4,Intersection 16,1167
2022-04-29 06:00:00,INT7,Intersection 5,654
2022-02-17 22:00:00,INT2,Intersection 5,1257
2022-11-12 00:00:00,INT7,Intersection 20,448
2022-03-22 11:00:00,INT9,Intersection 18,318
2022-03-11 08:00:00,INT5,Intersection 18,1122
2022-02-15 01:00:00,INT15,Intersection 5,549
2022-01-22 08:00:00,INT18,Intersection 11,603
2022-11-22 05:00:00,INT4,Intersection 13,185
2022-08-07 05:00:00,INT19,Intersection 3,1374
2022-01-24 07:00:00,INT20,Intersection 17,1388
2022-06-03 00:00:00,INT7,Intersection 18,622
2022-11-05 12:00:00,INT8,Intersection 14,1203
2022-05-20 07:00:00,INT17,Intersection 12,1744
2022-06-19 14:00:00,INT13,Intersection 14,560
2022-01-25 04:00:00,INT11,Intersection 18,1113
2022-10-19 20:00:00,INT1,Intersection 20,729
2022-12-05 18:00:00,INT2,Intersection 2,351
2022-05-12 03:00:00,INT17,Intersection 7,117
2022-06-27 01:00:00,INT5,Intersection 15,1379
2022-03-11 23:00:00,INT6,Intersection 10,1368
2022-05-27 02:00:00,INT7,Intersection 15,1276
2022-10-30 05:00:00,INT15,Intersection 17,1732
2022-04-25 08:00:00,INT19,Intersection 11,599
2022-08-05 04:00:00,INT16,Intersection 2,557
2022-03-31 05:00:00,INT13,Intersection 18,1821
2022-10-03 17:00:00,INT5,Intersection 4,1665
2022-04-14 07:00:00,INT3,Intersection 9,214
2022-09-28 04:00:00,INT3,Intersection 17,852
2022-11-06 05:00:00,INT19,Intersection 17,868
2022-07-05 12:00:00,INT14,Intersection 17,546
2022-09-03 01:00:00,INT16,Intersection 16,452
2022-10-05 17:00:00,INT17,Intersection 20,724
2022-04-29 17:00:00,INT4,Intersection 8,1970
2022-11-04 22:00:00,INT13,Intersection 15,640
2022-10-15 17:00:00,INT8,Intersection 1,421
2022-04-14 17:00:00,INT19,Intersection 19,1582
2022-07-12 03:00:00,INT5,Intersection 15,325
2022-04-29 07:00:00,INT2,Intersection 9,1879
2022-12-22 07:00:00,INT15,Intersection 5,460
2022-09-02 22:00:00,INT2,Intersection 16,1654
2022-09-20 15:00:00,INT11,Intersection 13,933
2022-02-05 11:00:00,INT13,Intersection 16,211
2022-03-12 07:00:00,INT10,Intersection 11,311
2022-10-12 17:00:00,INT3,Intersection 13,1356
2022-04-12 03:00:00,INT5,Intersection 6,1047
2022-06-16 16:00:00,INT3,Intersection 20,258
2022-07-30 12:00:00,INT6,Intersection 17,671
2022-04-25 02:00:00,INT13,Intersection 5,1447
2022-08-27 20:00:00,INT10,Intersection 17,1216
2022-08-13 11:00:00,INT19,Intersection 1,1371
2022-11-30 10:00:00,INT8,Intersection 5,769
2022-08-19 16:00:00,INT18,Intersection 5,1264
2022-06-13 01:00:00,INT3,Intersection 7,1010
2022-02-14 10:00:00,INT17,Intersection 16,1122
2022-11-18 19:00:00,INT8,Intersection 18,503
2022-07-02 12:00:00,INT10,Intersection 6,1855
2022-06-21 03:00:00,INT2,Intersection 2,503
2022-08-27 14:00:00,INT12,Intersection 13,1941
2022-05-21 13:00:00,INT6,Intersection 10,700
2022-03-28 18:00:00,INT2,Intersection 20,1790
2022-10-09 04:00:00,INT3,Intersection 11,1537
2022-01-18 09:00:00,INT17,Intersection 2,1563
2022-12-13 02:00:00,INT7,Intersection 8,1356
2022-06-15 14:00:00,INT5,Intersection 19,292
2022-05-17 03:00:00,INT1,Intersection 20,1222
2022-02-04 09:00:00,INT8,Intersection 17,1236
2022-11-16 12:00:00,INT12,Intersection 16,1742
2022-08-28 09:00:00,INT14,Intersection 10,1659
2022-01-18 04:00:00,INT16,Intersection 5,1404
2022-11-11 07:00:00,INT10,Intersection 14,1099
2022-11-13 03:00:00,INT15,Intersection 19,1839
2022-01-31 08:00:00,INT15,Intersection 4,622
2022-10-26 12:00:00,INT10,Intersection 20,449
2022-09-07 12:00:00,INT7,Intersection 16,415
2022-04-15 08:00:00,INT3,Intersection 15,1840
2022-05-04 15:00:00,INT2,Intersection 9,1042
2022-04-27 02:00:00,INT6,Intersection 3,1623
2022-02-16 18:00:00,INT9,Intersection 9,1660
2022-06-19 23:00:00,INT10,Intersection 18,1012
2022-03-07 11:00:00,INT4,Intersection 4,751
2022-07-31 09:00:00,INT3,Intersection 19,734
2022-08-01 16:00:00,INT9,Intersection 4,1110
2022-03-31 07:00:00,INT17,Intersection 9,1559
2022-10-11 14:00:00,INT14,Intersection 1,1646
2022-11-03 13:00:00,INT10,Intersection 1,1901
2022-05-24 08:00:00,INT13,Intersection 20,692
2022-06-06 22:00:00,INT12,Intersection 19,543
2022-08-24 04:00:00,INT1,Intersection 3,1945
2022-05-02 10:00:00,INT19,Intersection 10,720
2022-07-27 00:00:00,INT19,Intersection 12,1331
2022-09-04 13:00:00,INT6,Intersection 18,1954
2022-01-31 08:00:00,INT13,Intersection 14,855
2022-02-26 21:00:00,INT19,Intersection 10,1399
2022-07-07 04:00:00,INT13,Intersection 10,596
2022-01-30 02:00:00,INT4,Intersection 18,872
2022-10-27 10:00:00,INT2,Intersection 1,1420
2022-01-17 11:00:00,INT15,Intersection 15,473
2022-11-05 08:00:00,INT12,Intersection 8,1698
2022-12-03 18:00:00,INT7,Intersection 3,283
2022-06-23 19:00:00,INT20,Intersection 18,131
2022-07-01 16:00:00,INT18,Intersection 9,382
2022-04-15 06:00:00,INT13,Intersection 16,935
2022-01-30 21:00:00,INT17,Intersection 15,972
2022-04-26 22:00:00,INT4,Intersection 5,1555
2022-07-26 02:00:00,INT14,Intersection 13,1642
2022-08-17 14:00:00,INT20,Intersection 20,785
2022-12-14 07:00:00,INT13,Intersection 7,561
2022-07-27 12:00:00,INT3,Intersection 16,970
2022-10-30 18:00:00,INT18,Intersection 7,1083
2022-07-07 03:00:00,INT14,Intersection 16,467
2022-10-27 16:00:00,INT15,Intersection 13,757
2022-08-21 20:00:00,INT3,Intersection 17,1375
2022-11-15 19:00:00,INT1,Intersection 9,265
2022-06-01 12:00:00,INT17,Intersection 12,1738
2022-02-18 15:00:00,INT3,Intersection 13,1099
2022-02-14 06:00:00,INT14,Intersection 9,1828
2022-03-31 20:00:00,INT3,Intersection 5,1652
2022-11-24 12:00:00,INT13,Intersection 7,701
2022-08-04 01:00:00,INT15,Intersection 1,1494
2022-08-10 01:00:00,INT18,Intersection 4,1721
2022-09-30 13:00:00,INT14,Intersection 4,1226
2022-07-17 01:00:00,INT3,Intersection 16,693
2022-11-02 10:00:00,INT19,Intersection 5,225
2022-08-11 06:00:00,INT8,Intersection 4,137
2022-06-30 10:00:00,INT4,Intersection 6,447
2022-11-30 18:00:00,INT4,Intersection 3,1336
2022-10-11 09:00:00,INT19,Intersection 8,1442
2022-07-21 22:00:00,INT11,Intersection 17,836
2022-10-08 11:00:00,INT1,Intersection 18,833
2022-10-29 17:00:00,INT8,Intersection 18,525
2022-02-09 17:00:00,INT15,Intersection 12,1370
2022-04-16 19:00:00,INT1,Intersection 1,747
2022-10-22 00:00:00,INT7,Intersection 12,385
2022-03-06 06:00:00,INT20,Intersection 11,1354
2022-08-09 13:00:00,INT20,Intersection 13,419
2022-02-19 15:00:00,INT11,Intersection 3,611
2022-09-21 01:00:00,INT14,Intersection 8,1644
2022-10-17 02:00:00,INT16,Intersection 3,324
2022-04-22 17:00:00,INT14,Intersection 17,605
2022-03-06 04:00:00,INT12,Intersection 13,1948
2022-09-15 04:00:00,INT17,Intersection 10,1230
2022-08-19 21:00:00,INT14,Intersection 17,1822
2022-02-26 21:00:00,INT10,Intersection 3,1856
2022-12-29 03:00:00,INT14,Intersection 13,1730
2022-12-29 14:00:00,INT18,Intersection 6,1830
2022-11-09 06:00:00,INT9,Intersection 14,1877
2022-06-29 16:00:00,INT17,Intersection 10,841
2022-02-25 04:00:00,INT6,Intersection 20,1454
2022-05-11 21:00:00,INT8,Intersection 16,1128
2022-11-06 03:00:00,INT13,Intersection 18,1986
2022-05-26 06:00:00,INT18,Intersection 13,567
2022-03-17 10:00:00,INT5,Intersection 10,1639
2022-10-02 12:00:00,INT6,Intersection 6,1899
2022-05-02 19:00:00,INT19,Intersection 10,1037
2022-08-09 21:00:00,INT4,Intersection 5,864
2022-06-24 10:00:00,INT7,Intersection 6,262
2022-09-07 01:00:00,INT4,Intersection 7,752
2022-06-27 20:00:00,INT11,Intersection 11,1000
2022-07-17 20:00:00,INT12,Intersection 16,907
2022-07-22 01:00:00,INT14,Intersection 12,1654
2022-06-04 13:00:00,INT13,Intersection 12,181
2022-10-03 19:00:00,INT10,Intersection 20,580
2022-12-27 07:00:00,INT18,Intersection 5,615
2022-05-09 00:00:00,INT16,Intersection 16,1763
2022-09-30 02:00:00,INT5,Intersection 6,286
2022-01-22 00:00:00,INT8,Intersection 9,245
2022-02-20 14:00:00,INT14,Intersection 5,1105
